City,User_Category,Mobility_Profile,Hour_Interval,Peak_Status,Season,Avg_Stress,N_Records,Std_Stress,Confidence
Bordeaux,bus,High Stress,00:00 - 01:00,Night,Summer,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,00:00 - 01:00,Night,Winter,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,01:00 - 02:00,Night,Summer,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,02:00 - 03:00,Night,Summer,3.0,2,1.4142135623730951,0.2
Bordeaux,bus,High Stress,03:00 - 04:00,Night,Spring,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,04:00 - 05:00,Night,Autumn,3.0,2,1.4142135623730951,0.2
Bordeaux,bus,High Stress,06:00 - 07:00,Night,Summer,2.3333333333333335,3,1.1547005383792517,0.3
Bordeaux,bus,High Stress,07:00 - 08:00,Peak,Spring,1.6666666666666667,3,0.5773502691896257,0.3
Bordeaux,bus,High Stress,07:00 - 08:00,Peak,Winter,1.0,1,0.0,0.1
Bordeaux,bus,High Stress,08:00 - 09:00,Peak,Spring,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,08:00 - 09:00,Peak,Summer,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,09:00 - 10:00,Peak,Autumn,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,09:00 - 10:00,Peak,Spring,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,09:00 - 10:00,Peak,Summer,2.0,2,0.0,0.2
Bordeaux,bus,High Stress,09:00 - 10:00,Peak,Winter,2.0,2,0.0,0.2
Bordeaux,bus,High Stress,10:00 - 11:00,Off-Peak,Spring,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,10:00 - 11:00,Off-Peak,Winter,2.5,2,2.1213203435596424,0.2
Bordeaux,bus,High Stress,11:00 - 12:00,Off-Peak,Spring,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,11:00 - 12:00,Off-Peak,Summer,2.5,2,2.1213203435596424,0.2
Bordeaux,bus,High Stress,12:00 - 13:00,Off-Peak,Autumn,4.0,1,0.0,0.1
Bordeaux,bus,High Stress,12:00 - 13:00,Off-Peak,Spring,3.0,2,0.0,0.2
Bordeaux,bus,High Stress,12:00 - 13:00,Off-Peak,Winter,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,13:00 - 14:00,Off-Peak,Summer,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,14:00 - 15:00,Off-Peak,Autumn,3.6666666666666665,3,0.5773502691896258,0.3
Bordeaux,bus,High Stress,14:00 - 15:00,Off-Peak,Spring,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,15:00 - 16:00,Off-Peak,Summer,3.0,2,0.0,0.2
Bordeaux,bus,High Stress,16:00 - 17:00,Off-Peak,Autumn,1.0,1,0.0,0.1
Bordeaux,bus,High Stress,16:00 - 17:00,Off-Peak,Summer,,0,0.0,0.0
Bordeaux,bus,High Stress,17:00 - 18:00,Peak,Autumn,2.6666666666666665,3,1.1547005383792515,0.3
Bordeaux,bus,High Stress,17:00 - 18:00,Peak,Winter,4.0,1,0.0,0.1
Bordeaux,bus,High Stress,18:00 - 19:00,Peak,Autumn,3.0,1,0.0,0.1
Bordeaux,bus,High Stress,18:00 - 19:00,Peak,Spring,4.0,1,0.0,0.1
Bordeaux,bus,High Stress,18:00 - 19:00,Peak,Summer,4.0,1,0.0,0.1
Bordeaux,bus,High Stress,19:00 - 20:00,Peak,Autumn,2.0,1,0.0,0.1
Bordeaux,bus,High Stress,19:00 - 20:00,Peak,Spring,4.0,2,1.4142135623730951,0.2
Bordeaux,bus,High Stress,20:00 - 21:00,Night,Autumn,4.0,1,0.0,0.1
Bordeaux,bus,High Stress,20:00 - 21:00,Night,Spring,4.0,1,0.0,0.1
